feature,importance
Designation,0.19885373201418505
Passport,0.16641144056310417
MaritalStatus,0.061740885715949045
Age,0.050144272149219515
CityTier,0.04189758694851814
DurationOfPitch,0.025319319420868402
NumberOfTrips,0.02424214940646846
PreferredPropertyStar,0.017796455732488947
MonthlyIncome,0.016763114890474218
NumberOfFollowups,0.01570357554617463
PitchSatisfactionScore,0.007608121847674898
Occupation,0.006665337788732628
NumberOfChildrenVisiting,0.0015282280042810403
Gender,0.0013471157130204303
OwnCar,0.0
NumberOfPersonVisiting,0.0
TypeofContact,0.0
ProductPitched,0.0
