feature,importance
Passport,0.23370529237269044
Designation,0.09889464015529259
MaritalStatus,0.08302477879798725
CityTier,0.07983237890711992
DurationOfPitch,0.07758930846688505
Age,0.07005325277072627
ProductPitched,0.056690404959439555
MonthlyIncome,0.05262972291928625
PreferredPropertyStar,0.05027251505315028
PitchSatisfactionScore,0.044373427520167985
Occupation,0.04141765145305837
TypeofContact,0.03865054203104695
NumberOfFollowups,0.03470777141250225
NumberOfTrips,0.03266551375746979
Gender,0.029185067385431862
OwnCar,0.00808785694600006
NumberOfPersonVisiting,0.003701762580505197
NumberOfChildrenVisiting,-0.0016674619778436206
